X,Y,Label
698,742,C10
-134,1872,C10
164,1758,C10
1229,651,C10
1394,518,C10
195,1261,C10
-121,2170,C10
464,1308,C10
1485,436,C10
798,737,C10
-162,1790,C10
94,1992,C10
1052,792,C10
1471,460,C10
314,1052,C10
-151,2044,C10
282,1393,C10
1356,445,C10
954,686,C10
-54,1610,C10
2,2115,C10
842,955,C10
1556,464,C10
522,889,C10
-176,1984,C10
147,1636,C10
1273,545,C10
1249,545,C10
96,1401,C10
-112,2175,C10
630,1167,C10
1579,445,C10
753,773,C10
-153,1882,C10
142,1866,C10
1200,736,C10
1443,526,C10
225,1221,C10
-133,2191,C10
379,1409,C10
1411,490,C10
777,774,C10
-216,1796,C10
-9,2101,C10
910,910,C10
1425,517,C10
291,1054,C10
-212,2074,C10
169,1448,C10
1309,434,C10
1039,604,C10
2,1507,C10
-14,2097,C10
821,980,C10
1625,405,C10
671,792,C10
-80,1887,C10
238,1639,C10
1344,558,C10
1387,503,C10
210,1331,C10
-53,2175,C10
643,1221,C10
1675,410,C10
873,742,C10
-110,1838,C10
157,1916,C10
1170,764,C10
1496,501,C10
319,1165,C10
-94,2143,C10
409,1367,C10
1458,428,C10
852,719,C10
-167,1706,C10
14,2087,C10
930,902,C10
1517,464,C10
432,966,C10
-167,2018,C10
193,1489,C10
1297,481,C10
1095,614,C10
20,1503,C10
-21,2149,C10
771,1046,C10
1613,424,C10
690,794,C10
-132,1917,C10
185,1750,C10
1292,660,C10
1381,560,C10
210,1323,C10
-72,2201,C10
561,1303,C10
1608,478,C10
854,814,C10
-129,1885,C10
153,2005,C10
1139,826,C10
824,776,C10
-141,1772,C10
57,2070,C10
970,905,C10
1505,494,C10
382,1025,C10
-151,2056,C10
235,1468,C10
1328,470,C10
1117,625,C10
80,1498,C10
18,2127,C10
815,1082,C10
1648,472,C10
751,838,C10
-33,1878,C10
261,1700,C10
1338,628,C10
1444,524,C10
258,1293,C10
-52,2174,C10
589,1276,C10
1632,405,C10
894,728,C10
-89,1793,C10
168,1971,C10
1153,803,C10
1544,488,C10
367,1120,C10
-94,2104,C10
367,1418,C10
1419,454,C10
924,724,C10
-105,1679,C10
-6,2150,C10
849,997,C10
1530,502,C10
501,922,C10
-145,1969,C10
185,1586,C10
1261,558,C10
1207,595,C10
112,1427,C10
-56,2149,C10
645,1155,C10
1580,441,C10
769,777,C10
-132,1877,C10
147,1878,C10
1194,778,C10
1449,547,C10
263,1216,C10
-150,2182,C10
340,1414,C10
1380,498,C10
788,778,C10
-193,1748,C10
3,2095,C10
876,910,C10
1436,473,C10
365,974,C10
-210,1994,C10
153,1454,C10
1265,455,C10
1038,590,C10
-18,1452,C10
-103,2104,C10
657,1053,C10
1528,426,C10
644,781,C10
-172,1845,C10
131,1736,C10
1210,657,C10
1372,526,C10
216,1248,C10
-98,2163,C10
496,1329,C10
1505,432,C10
826,738,C10
-149,1774,C10
62,2004,C10
989,816,C10
1461,460,C10
312,1055,C10
-162,2077,C10
211,1440,C10
1270,466,C10
930,695,C10
-97,1614,C10
-70,2151,C10
756,1055,C10
1528,518,C10
573,937,C10
-123,1967,C10
174,1699,C10
1295,641,C10
1309,588,C10
178,1342,C10
-85,2137,C10
597,1173,C10
1636,319,C10
153,1403,C10
-47,2174,C10
671,1211,C10
1615,479,C10
806,816,C10
-87,1890,C10
183,1884,C10
1216,759,C10
1486,534,C10
291,1230,C10
-106,2202,C10
402,1428,C10
1417,505,C10
840,770,C10
-159,1767,C10
8,2105,C10
924,928,C10
1472,518,C10
338,1050,C10
-228,2074,C10
148,1513,C10
1260,511,C10
1048,652,C10
-29,1548,C10
-80,2153,C10
708,1076,C10
1531,479,C10
609,854,C10
-142,1917,C10
173,1743,C10
1276,661,C10
1385,557,C10
232,1312,C10
-60,2189,C10
554,1327,C10
1590,480,C10
869,780,C10
-101,1831,C10
147,2003,C10
1111,819,C10
1528,501,C10
376,1105,C10
-106,2076,C10
305,1400,C10
1360,438,C10
924,690,C10
-82,1621,C10
28,2089,C10
884,922,C10
1579,447,C10
519,909,C10
-147,1978,C10
192,1604,C10
1354,542,C10
1286,579,C10
128,1431,C10
-60,2189,C10
652,1194,C10
1597,486,C10
754,824,C10
-144,1891,C10
147,1844,C10
1192,746,C10
1398,546,C10
222,1243,C10
-137,2205,C10
399,1400,C10
1440,475,C10
790,759,C10
-186,1766,C10
27,2066,C10
936,917,C10
1465,518,C10
373,1067,C10
-183,2077,C10
185,1469,C10
1292,479,C10
1016,664,C10
-44,1560,C10
-72,2149,C10
730,1051,C10
1525,462,C10
587,831,C10
-183,1906,C10
140,1701,C10
1257,639,C10
1305,566,C10
156,1340,C10
-110,2211,C10
533,1317,C10
1563,502,C10
839,820,C10
-133,1881,C10
131,2015,C10
1108,826,C10
1476,515,C10
335,1134,C10
-141,2115,C10
322,1395,C10
1375,441,C10
867,692,C10
-153,1662,C10
-33,2108,C10
817,945,C10
1462,491,C10
419,946,C10
-222,2013,C10
141,1605,C10
1261,567,C10
1139,612,C10
27,1476,C10
-107,2179,C10
623,1178,C10
791,801,C10
-129,1913,C10
140,1943,C10
1154,796,C10
1459,553,C10
323,1204,C10
-90,2175,C10
425,1393,C10
1475,440,C10
883,709,C10
-134,1692,C10
31,2044,C10
932,854,C10
1521,437,C10
404,957,C10
-208,2016,C10
142,1459,C10
1255,448,C10
1030,588,C10
-39,1485,C10
-99,2133,C10
698,1049,C10
1538,434,C10
613,798,C10
-188,1889,C10
127,1729,C10
1224,657,C10
1330,551,C10
203,1309,C10
-82,2195,C10
556,1311,C10
1592,456,C10
862,780,C10
-125,1852,C10
134,2009,C10
1118,825,C10
1549,504,C10
383,1108,C10
-129,2106,C10
278,1428,C10
1312,468,C10
864,727,C10
-128,1667,C10
-21,2108,C10
803,985,C10
1489,477,C10
466,919,C10
-191,1971,C10
158,1607,C10
1275,564,C10
1240,582,C10
111,1414,C10
-68,2160,C10
642,1195,C10
1613,451,C10
773,793,C10
-151,1856,C10
113,1864,C10
1165,710,C10
1420,477,C10
246,1172,C10
-149,2146,C10
361,1350,C10
1411,414,C10
771,715,C10
-222,1738,C10
-4,2053,C10
939,865,C10
1453,481,C10
310,1057,C10
-265,2088,C10
142,1486,C10
1280,471,C10
1003,662,C10
-67,1574,C10
-73,2132,C10
753,992,C10
793,740,C10
-179,1758,C10
64,2000,C10
1007,801,C10
1469,427,C10
332,1003,C10
-173,2015,C10
222,1375,C10
1316,397,C10
981,607,C10
-47,1532,C10
-3,2068,C10
856,905,C10
1593,384,C10
564,814,C10
-140,1925,C10
182,1589,C10
1328,488,C10
1318,464,C10
131,1288,C10
-107,2079,C10
598,1107,C10
1579,351,C10
768,687,C10
-164,1775,C10
131,1772,C10
1166,648,C10
1428,424,C10
216,1097,C10
-159,2084,C10
388,1320,C10
1405,386,C10
799,682,C10
-197,1674,C10
-12,2012,C10
866,826,C10
1423,396,C10
311,933,C10
-223,1989,C10
174,1418,C10
1268,395,C10
1058,545,C10
-32,1439,C10
-94,2075,C10
714,988,C10
1566,393,C10
612,801,C10
-164,1890,C10
145,1696,C10
1239,611,C10
1321,512,C10
139,1306,C10
-144,2169,C10
507,1257,C10
1565,399,C10
801,721,C10
-150,1788,C10
127,1924,C10
1104,746,C10
1482,428,C10
328,1056,C10
-122,2037,C10
324,1344,C10
1379,380,C10
881,668,C10
-137,1633,C10
-13,2073,C10
823,922,C10
1495,440,C10
449,917,C10
-202,1982,C10
125,1562,C10
1263,509,C10
1142,561,C10
2,1363,C10
-125,2046,C10
629,948,C10
1576,191,C10
417,900,C10
-216,1981,C10
140,1528,C10
1295,468,C10
1180,538,C10
48,1421,C10
-56,2111,C10
703,1071,C10
1608,391,C10
717,749,C10
-140,1830,C10
132,1730,C10
1218,605,C10
1399,443,C10
217,1195,C10
-106,2112,C10
471,1269,C10
1514,357,C10
815,671,C10
-162,1723,C10
79,1948,C10
1063,773,C10
1529,424,C10
354,1019,C10
-170,2017,C10
246,1365,C10
1325,378,C10
918,625,C10
-116,1552,C10
-72,2054,C10
745,914,C10
1459,396,C10
436,810,C10
-245,1862,C10
119,1516,C10
1242,398,C10
