X,Y,Label
875,-785,D10
1553,-1344,D10
489,-893,D10
-190,362,D10
171,-190,D10
1359,-1371,D10
1233,-1330,D10
87,-402,D10
-58,365,D10
771,-849,D10
1620,-1487,D10
673,-1094,D10
-197,166,D10
144,-39,D10
1282,-1229,D10
1415,-1332,D10
228,-487,D10
-92,516,D10
604,-524,D10
1685,-1385,D10
917,-1028,D10
-82,172,D10
211,255,D10
1260,-1051,D10
1598,-1337,D10
405,-636,D10
-68,555,D10
451,-358,D10
1550,-1405,D10
937,-1095,D10
-109,-2,D10
47,378,D10
987,-948,D10
1562,-1381,D10
431,-806,D10
-190,441,D10
251,-291,D10
1438,-1387,D10
1148,-1199,D10
50,-197,D10
-21,461,D10
842,-812,D10
1645,-1382,D10
638,-949,D10
-132,308,D10
221,-83,D10
1372,-1248,D10
1370,-1289,D10
205,-402,D10
-41,481,D10
701,-658,D10
1704,-1421,D10
866,-1046,D10
-98,173,D10
195,136,D10
1282,-1106,D10
1528,-1330,D10
340,-579,D10
-56,537,D10
511,-415,D10
1609,-1404,D10
915,-1091,D10
-111,38,D10
110,331,D10
1097,-991,D10
1586,-1381,D10
417,-772,D10
-150,445,D10
311,-356,D10
1459,-1434,D10
1059,-1170,D10
3,-145,D10
23,425,D10
908,-888,D10
1636,-1410,D10
606,-935,D10
-114,329,D10
264,-160,D10
1397,-1304,D10
1312,-1267,D10
168,-373,D10
192,-28,D10
1421,-1205,D10
1240,-1134,D10
92,-221,D10
-40,491,D10
773,-731,D10
1622,-1369,D10
690,-997,D10
-157,261,D10
158,6,D10
1332,-1205,D10
1375,-1291,D10
160,-440,D10
-115,518,D10
595,-550,D10
1665,-1393,D10
876,-1045,D10
-127,151,D10
168,225,D10
1202,-1033,D10
1543,-1314,D10
381,-656,D10
-37,462,D10
444,-405,D10
1513,-1391,D10
933,-1091,D10
-72,-20,D10
69,374,D10
998,-958,D10
1598,-1413,D10
449,-847,D10
-174,400,D10
223,-283,D10
1402,-1388,D10
1187,-1255,D10
71,-293,D10
-27,395,D10
806,-847,D10
1608,-1434,D10
657,-1033,D10
-144,180,D10
193,-98,D10
1315,-1236,D10
1366,-1312,D10
187,-460,D10
-119,494,D10
577,-562,D10
1618,-1394,D10
872,-1068,D10
-96,109,D10
197,195,D10
1239,-1073,D10
1589,-1367,D10
431,-690,D10
-46,443,D10
474,-437,D10
1544,-1435,D10
961,-1131,D10
-70,-48,D10
49,371,D10
978,-970,D10
1560,-1435,D10
423,-871,D10
-192,375,D10
212,-298,D10
1391,-1402,D10
1167,-1266,D10
65,-298,D10
-30,402,D10
829,-853,D10
1645,-1435,D10
713,-1026,D10
-93,182,D10
204,-101,D10
1341,-1233,D10
1396,-1312,D10
220,-484,D10
-67,476,D10
622,-586,D10
1660,-1412,D10
900,-1080,D10
-75,101,D10
215,190,D10
1266,-1075,D10
1630,-1378,D10
458,-695,D10
-11,469,D10
489,-438,D10
1563,-1453,D10
955,-1137,D10
-84,-63,D10
35,344,D10
986,-958,D10
1564,-1372,D10
432,-780,D10
-202,463,D10
206,-132,D10
1379,-1054,D10
1144,-717,D10
138,217,D10
1305,-1088,D10
1461,-1325,D10
263,-556,D10
-87,450,D10
594,-594,D10
1675,-1491,D10
918,-1174,D10
-74,10,D10
201,120,D10
1249,-1175,D10
1617,-1476,D10
411,-752,D10
-70,456,D10
485,-456,D10
1593,-1493,D10
1001,-1199,D10
-37,-121,D10
92,292,D10
1016,-1033,D10
1620,-1487,D10
529,-982,D10
-89,217,D10
303,-467,D10
1417,-1526,D10
1197,-1386,D10
99,-422,D10
-6,282,D10
824,-983,D10
1668,-1574,D10
700,-1151,D10
-157,140,D10
188,-119,D10
1323,-1264,D10
1399,-1371,D10
226,-536,D10
-86,447,D10
597,-608,D10
1635,-1420,D10
866,-1088,D10
-86,75,D10
201,139,D10
1233,-1145,D10
1569,-1453,D10
405,-741,D10
-58,453,D10
463,-459,D10
1560,-1484,D10
988,-1180,D10
-36,-87,D10
85,332,D10
1027,-1003,D10
1633,-1459,D10
563,-947,D10
-69,247,D10
301,-432,D10
1457,-1510,D10
1221,-1369,D10
102,-407,D10
-18,291,D10
799,-931,D10
1632,-1526,D10
685,-1119,D10
-158,144,D10
168,-107,D10
1302,-1270,D10
1395,-1364,D10
241,-547,D10
-81,421,D10
594,-617,D10
1654,-1480,D10
894,-1134,D10
-94,61,D10
196,139,D10
1237,-1142,D10
1605,-1445,D10
396,-760,D10
-99,438,D10
472,-478,D10
1575,-1514,D10
997,-1213,D10
-45,-133,D10
85,277,D10
1010,-1054,D10
1582,-1509,D10
490,-978,D10
-130,243,D10
299,-415,D10
1397,-1468,D10
1196,-1332,D10
114,-389,D10
-4,316,D10
809,-904,D10
1639,-1493,D10
725,-1078,D10
-118,153,D10
217,-109,D10
1315,-1291,D10
1422,-1407,D10
235,-591,D10
370,-287,D10
1496,-1361,D10
932,-1074,D10
-98,15,D10
17,452,D10
939,-863,D10
1548,-1316,D10
433,-782,D10
-195,455,D10
191,-182,D10
1392,-1307,D10
1205,-1202,D10
88,-252,D10
-38,470,D10
790,-744,D10
1619,-1355,D10
694,-957,D10
-129,281,D10
206,20,D10
1360,-1149,D10
1428,-1237,D10
226,-397,D10
-95,590,D10
590,-466,D10
1648,-1323,D10
889,-962,D10
-111,224,D10
184,303,D10
1212,-956,D10
1530,-1243,D10
331,-536,D10
-99,643,D10
420,-257,D10
1516,-1283,D10
931,-972,D10
-105,116,D10
38,521,D10
974,-800,D10
1572,-1249,D10
454,-702,D10
-141,489,D10
217,-192,D10
1388,-1269,D10
1160,-1114,D10
65,-169,D10
-9,506,D10
843,-745,D10
1660,-1338,D10
709,-945,D10
-97,296,D10
229,8,D10
1443,-1183,D10
1484,-1252,D10
289,-370,D10
5,588,D10
731,-542,D10
1769,-1358,D10
935,-975,D10
-88,288,D10
225,290,D10
1343,-998,D10
1600,-1233,D10
373,-463,D10
-59,674,D10
536,-313,D10
1660,-1323,D10
956,-983,D10
-93,167,D10
130,440,D10
1129,-872,D10
1609,-1270,D10
424,-658,D10
-101,534,D10
330,-276,D10
1465,-1321,D10
