X,Y,Label
1182,-1276,E5
1378,-1478,E5
238,-835,E5
-131,243,E5
414,-628,E5
1427,-1568,E5
838,-1304,E5
-120,-291,E5
61,59,E5
951,-1212,E5
1481,-1643,E5
440,-1198,E5
-127,-83,E5
209,-690,E5
1253,-1685,E5
1092,-1572,E5
69,-733,E5
-61,11,E5
679,-1097,E5
1558,-1737,E5
782,-1406,E5
-54,-288,E5
201,-346,E5
1198,-1473,E5
1414,-1703,E5
284,-1061,E5
-129,-20,E5
325,-810,E5
1253,-1646,E5
737,-1391,E5
-180,-433,E5
-34,-26,E5
792,-1243,E5
1407,-1722,E5
478,-1321,E5
-161,-235,E5
164,-633,E5
1195,-1633,E5
1196,-1631,E5
166,-885,E5
-50,-7,E5
610,-995,E5
1588,-1729,E5
863,-1420,E5
-26,-300,E5
250,-211,E5
1209,-1429,E5
1556,-1747,E5
428,-1183,E5
-74,-78,E5
344,-824,E5
1327,-1743,E5
890,-1491,E5
-37,-560,E5
30,-24,E5
796,-1219,E5
1511,-1748,E5
611,-1368,E5
-131,-226,E5
195,-521,E5
1235,-1574,E5
1291,-1637,E5
196,-919,E5
-89,33,E5
495,-919,E5
1476,-1734,E5
803,-1458,E5
-77,-372,E5
146,-193,E5
1059,-1276,E5
1499,-1463,E5
1525,-1724,E5
829,-1457,E5
-49,-379,E5
211,-249,E5
1127,-1457,E5
1520,-1773,E5
429,-1246,E5
-85,-178,E5
314,-851,E5
1272,-1750,E5
918,-1528,E5
8,-631,E5
17,-84,E5
779,-1265,E5
1526,-1826,E5
628,-1468,E5
-141,-321,E5
168,-539,E5
1184,-1631,E5
1313,-1755,E5
181,-1051,E5
-172,-48,E5
353,-917,E5
1305,-1712,E5
719,-1443,E5
-148,-406,E5
53,-142,E5
907,-1368,E5
1396,-1764,E5
367,-1301,E5
-189,-215,E5
157,-784,E5
1171,-1745,E5
979,-1588,E5
-1,-758,E5
-98,-61,E5
648,-1181,E5
1519,-1810,E5
744,-1477,E5
-81,-349,E5
222,-415,E5
1254,-1572,E5
1510,-1791,E5
399,-1182,E5
-5,-123,E5
440,-925,E5
1382,-1767,E5
866,-1507,E5
-70,-527,E5
77,-133,E5
896,-1353,E5
1488,-1819,E5
510,-1417,E5
-161,-279,E5
137,-697,E5
1195,-1694,E5
1139,-1661,E5
82,-865,E5
-90,-16,E5
571,-1031,E5
1502,-1753,E5
770,-1445,E5
-92,-324,E5
185,-286,E5
1158,-1504,E5
1502,-1805,E5
404,-1245,E5
-49,-193,E5
348,-933,E5
1309,-1838,E5
901,-1601,E5
-34,-684,E5
21,-159,E5
784,-1317,E5
1474,-1831,E5
591,-1465,E5
-152,-347,E5
150,-616,E5
1166,-1657,E5
1237,-1721,E5
159,-1025,E5
-129,-43,E5
398,-915,E5
1327,-1703,E5
736,-1426,E5
-118,-391,E5
104,-164,E5
962,-1376,E5
1454,-1760,E5
-133,-191,E5
144,-331,E5
1167,-1475,E5
1342,-1685,E5
224,-1074,E5
-149,-41,E5
343,-862,E5
1269,-1712,E5
722,-1440,E5
-146,-442,E5
79,-124,E5
910,-1342,E5
1470,-1789,E5
481,-1367,E5
-124,-254,E5
187,-750,E5
1190,-1719,E5
1122,-1650,E5
111,-871,E5
-94,-73,E5
557,-1074,E5
1507,-1765,E5
783,-1455,E5
-59,-351,E5
189,-331,E5
1169,-1503,E5
1475,-1794,E5
364,-1233,E5
-114,-168,E5
303,-869,E5
1247,-1735,E5
841,-1502,E5
-73,-599,E5
-9,-71,E5
785,-1259,E5
1477,-1794,E5
592,-1406,E5
-123,-260,E5
188,-559,E5
1233,-1637,E5
1306,-1732,E5
180,-978,E5
-122,15,E5
475,-946,E5
1434,-1747,E5
770,-1458,E5
-121,-386,E5
92,-198,E5
1003,-1423,E5
1452,-1791,E5
406,-1282,E5
-122,-203,E5
233,-855,E5
1214,-1759,E5
941,-1565,E5
-1,-695,E5
-37,-47,E5
743,-1215,E5
1550,-1804,E5
711,-1439,E5
-120,-290,E5
172,-444,E5
1220,-1570,E5
1411,-1755,E5
273,-1083,E5
-91,-33,E5
398,-896,E5
1333,-1705,E5
755,-1432,E5
-148,-428,E5
64,-122,E5
905,-1363,E5
1425,-1791,E5
415,-1363,E5
-183,-259,E5
134,-776,E5
1161,-1757,E5
1043,-1677,E5
35,-898,E5
-95,-126,E5
555,-1138,E5
1481,-1805,E5
767,-1499,E5
-41,-411,E5
206,-386,E5
1156,-1559,E5
1483,-1819,E5
399,-1265,E5
-41,-202,E5
376,-924,E5
1334,-1810,E5
898,-1560,E5
-41,-612,E5
11,-91,E5
819,-1309,E5
1528,-1830,E5
598,-1431,E5
-126,-278,E5
179,-564,E5
1194,-1623,E5
1266,-1684,E5
192,-968,E5
-70,-35,E5
510,-971,E5
1453,-1744,E5
794,-1464,E5
-88,-408,E5
155,-231,E5
1069,-1480,E5
1511,-1831,E5
442,-1342,E5
-110,-262,E5
247,-879,E5
1237,-1805,E5
986,-1612,E5
30,-749,E5
10,-107,E5
734,-1219,E5
1556,-1810,E5
742,-1469,E5
-68,-343,E5
748,-1409,E5
1568,-2044,E5
730,-1730,E5
-87,-581,E5
196,-762,E5
1242,-1880,E5
1406,-2016,E5
252,-1292,E5
-103,-236,E5
394,-1067,E5
1352,-1866,E5
791,-1575,E5
-93,-555,E5
83,-265,E5
948,-1476,E5
1484,-1869,E5
485,-1415,E5
-75,-327,E5
247,-902,E5
1292,-1901,E5
1150,-1794,E5
111,-960,E5
-28,-182,E5
675,-1231,E5
1590,-1897,E5
819,-1587,E5
-20,-479,E5
236,-496,E5
1219,-1651,E5
1489,-1883,E5
381,-1281,E5
-45,-215,E5
368,-986,E5
1345,-1847,E5
867,-1593,E5
-29,-620,E5
71,-153,E5
888,-1378,E5
1535,-1860,E5
576,-1465,E5
-122,-335,E5
205,-725,E5
1253,-1776,E5
1224,-1795,E5
155,-1016,E5
-114,-106,E5
474,-1058,E5
1401,-1810,E5
746,-1525,E5
-92,-442,E5
129,-315,E5
1032,-1508,E5
1443,-1826,E5
409,-1317,E5
-105,-254,E5
259,-904,E5
1241,-1816,E5
949,-1610,E5
0,-727,E5
-24,-122,E5
783,-1287,E5
1561,-1870,E5
673,-1508,E5
-132,-353,E5
161,-555,E5
1202,-1684,E5
1363,-1844,E5
244,-1128,E5
-100,-68,E5
426,-931,E5
1360,-1754,E5
774,-1475,E5
-96,-427,E5
98,-162,E5
984,-1417,E5
1496,-1823,E5
447,-1343,E5
-141,-234,E5
179,-855,E5
1229,-1856,E5
1042,-1718,E5
31,-863,E5
-74,-136,E5
648,-1233,E5
1506,-1857,E5
702,-1536,E5
-124,-391,E5
141,-471,E5
1160,-1611,E5
1385,-1822,E5
276,-1175,E5
-128,-103,E5
334,-918,E5
1292,-1762,E5
798,-1500,E5
-82,-504,E5
76,-119,E5
931,-1362,E5
1545,-1822,E5
567,-1411,E5
-81,-291,E5
261,-775,E5
1297,-1811,E5
1237,-1774,E5
167,-973,E5
-46,-121,E5
614,-1158,E5
1546,-1873,E5
808,-1564,E5
-52,-434,E5
208,-393,E5
1175,-1571,E5
1521,-1839,E5
-102,-360,E5
180,-588,E5
1210,-1771,E5
1357,-1948,E5
194,-1249,E5
-164,-218,E5
375,-1136,E5
1335,-1991,E5
740,-1716,E5
-156,-660,E5
43,-422,E5
918,-1675,E5
1425,-2059,E5
381,-1571,E5
-160,-467,E5
214,-1110,E5
1229,-2086,E5
1032,-1933,E5
34,-1057,E5
-71,-344,E5
663,-1445,E5
1534,-2071,E5
736,-1724,E5
-68,-600,E5
203,-718,E5
1200,-1850,E5
1432,-2039,E5
310,-1365,E5
-90,-282,E5
390,-1155,E5
1336,-2028,E5
806,-1735,E5
-118,-723,E5
23,-350,E5
875,-1612,E5
1439,-2056,E5
462,-1622,E5
-180,-480,E5
159,-1015,E5
1214,-2010,E5
1137,-1945,E5
83,-1144,E5
-122,-323,E5
530,-1344,E5
1460,-2037,E5
747,-1725,E5
-137,-598,E5
146,-599,E5
1113,-1778,E5
1425,-2045,E5
329,-1473,E5
-119,-381,E5
324,-1145,E5
1304,-2050,E5
880,-1796,E5
-50,-849,E5
37,-366,E5
822,-1593,E5
1515,-2111,E5
600,-1720,E5
-110,-569,E5
201,-934,E5
1236,-1996,E5
1282,-2040,E5
149,-1278,E5
-127,-333,E5
470,-1280,E5
1416,-2059,E5
748,-1770,E5
-108,-688,E5
101,-526,E5
1001,-1752,E5
1423,-2096,E5
398,-1612,E5
-100,-537,E5
269,-1191,E5
1234,-2113,E5
953,-1905,E5
8,-1017,E5
-45,-373,E5
714,-1514,E5
1527,-2094,E5
703,-1739,E5
-119,-558,E5
177,-724,E5
1203,-1857,E5
1400,-2022,E5
292,-1323,E5
-74,-248,E5
444,-1147,E5
1418,-2007,E5
827,-1721,E5
-88,-676,E5
95,-402,E5
970,-1691,E5
1497,-2094,E5
437,-1620,E5
-148,-472,E5
211,-1111,E5
1247,-2095,E5
1068,-1965,E5
33,-1095,E5
-74,-358,E5
641,-1463,E5
1526,-2078,E5
738,-1736,E5
-88,-577,E5
177,-700,E5
1193,-1857,E5
1425,-2060,E5
276,-1345,E5
-113,-238,E5
379,-1116,E5
1381,-2033,E5
805,-1754,E5
-158,-712,E5
13,-373,E5
895,-1679,E5
1439,-2116,E5
400,-1640,E5
-193,-491,E5
146,-947,E5
