X,Y,Label
2138,-2485,I11
1713,-2209,I11
355,-836,I11
363,-292,I11
1646,-1777,I11
2108,-2741,I11
1038,-1840,I11
-147,-425,I11
586,-860,I11
1828,-2319,I11
1762,-2380,I11
468,-1135,I11
51,-274,I11
1195,-1466,I11
1971,-2715,I11
1254,-2107,I11
9,-732,I11
516,-660,I11
1839,-2157,I11
2039,-2724,I11
734,-1604,I11
-122,-342,I11
861,-1123,I11
2015,-2548,I11
1677,-2263,I11
385,-881,I11
340,-305,I11
1564,-1708,I11
2072,-2726,I11
1077,-1879,I11
-74,-510,I11
620,-869,I11
1878,-2325,I11
1873,-2501,I11
556,-1283,I11
6,-355,I11
1146,-1473,I11
2012,-2801,I11
1355,-2203,I11
72,-813,I11
424,-565,I11
1729,-2036,I11
1985,-2698,I11
687,-1617,I11
-267,-276,I11
679,-967,I11
1893,-2397,I11
1602,-2183,I11
311,-837,I11
196,-193,I11
1450,-1610,I11
2025,-2742,I11
1088,-1937,I11
-103,-552,I11
540,-830,I11
1822,-2278,I11
1828,-2564,I11
563,-1381,I11
-56,-374,I11
1004,-1372,I11
1923,-2705,I11
1390,-2182,I11
159,-847,I11
406,-521,I11
1683,-1939,I11
2012,-2704,I11
850,-1716,I11
-217,-357,I11
617,-912,I11
1852,-2346,I11
1694,-2279,I11
406,-974,I11
105,-214,I11
1314,-1506,I11
2003,-2729,I11
1200,-2039,I11
-37,-658,I11
549,-774,I11
1870,-2243,I11
1965,-2683,I11
674,-1544,I11
-79,-411,I11
973,-1307,I11
2012,-2698,I11
1292,-1063,I11
2070,-2451,I11
1216,-1831,I11
-61,-475,I11
532,-656,I11
1882,-2209,I11
1990,-2691,I11
647,-1569,I11
-125,-435,I11
909,-1356,I11
1925,-2762,I11
1452,-2330,I11
168,-969,I11
305,-527,I11
1558,-1928,I11
1944,-2769,I11
832,-1830,I11
-294,-437,I11
486,-928,I11
1736,-2381,I11
1626,-2391,I11
323,-1115,I11
-53,-284,I11
1133,-1529,I11
1886,-2787,I11
1117,-2136,I11
-149,-729,I11
405,-716,I11
1737,-2185,I11
1903,-2703,I11
611,-1578,I11
-197,-361,I11
817,-1175,I11
1924,-2581,I11
1552,-2251,I11
279,-898,I11
297,-382,I11
1531,-1806,I11
2000,-2794,I11
976,-1920,I11
-190,-532,I11
527,-918,I11
1781,-2368,I11
1766,-2502,I11
475,-1272,I11
-30,-358,I11
1119,-1490,I11
1964,-2797,I11
1320,-2205,I11
61,-815,I11
458,-623,I11
1771,-2096,I11
2017,-2738,I11
712,-1644,I11
-223,-324,I11
748,-1051,I11
1958,-2492,I11
1659,-2262,I11
312,-897,I11
180,-271,I11
1452,-1701,I11
2005,-2804,I11
1012,-1973,I11
-192,-565,I11
480,-894,I11
1765,-2365,I11
1765,-2610,I11
448,-1390,I11
-127,-397,I11
1000,-1443,I11
1899,-2773,I11
