X,Y,Label
776,961,NOISE
50,2023,NOISE
970,1353,NOISE
2146,95,NOISE
1657,438,NOISE
341,1621,NOISE
459,2076,NOISE
1599,839,NOISE
2149,-43,NOISE
1031,733,NOISE
-55,1989,NOISE
651,1635,NOISE
1861,393,NOISE
1673,355,NOISE
439,1386,NOISE
168,2104,NOISE
1153,1144,NOISE
2013,16,NOISE
1232,564,NOISE
46,1721,NOISE
531,1785,NOISE
1718,585,NOISE
1961,103,NOISE
754,979,NOISE
16,2012,NOISE
900,1343,NOISE
2093,114,NOISE
1624,463,NOISE
347,1620,NOISE
448,2060,NOISE
1582,865,NOISE
2152,-28,NOISE
1082,713,NOISE
-24,1946,NOISE
653,1634,NOISE
1862,444,NOISE
1709,386,NOISE
476,1405,NOISE
145,2153,NOISE
1115,1221,NOISE
2006,87,NOISE
1271,611,NOISE
62,1771,NOISE
518,1879,NOISE
1714,648,NOISE
1980,96,NOISE
741,967,NOISE
-4,2020,NOISE
894,1371,NOISE
2128,121,NOISE
1671,423,NOISE
394,1590,NOISE
440,2084,NOISE
1601,897,NOISE
2189,-6,NOISE
1118,758,NOISE
22,1980,NOISE
683,1646,NOISE
1923,411,NOISE
1771,334,NOISE
516,1362,NOISE
144,2118,NOISE
1154,1183,NOISE
2039,15,NOISE
1281,556,NOISE
84,1709,NOISE
522,1829,NOISE
1729,639,NOISE
1980,119,NOISE
767,1000,NOISE
27,2050,NOISE
882,1436,NOISE
2106,225,NOISE
1693,513,NOISE
451,1626,NOISE
479,2119,NOISE
1601,974,NOISE
2181,23,NOISE
1150,717,NOISE
29,1927,NOISE
653,1656,NOISE
1868,428,NOISE
1753,296,NOISE
488,1299,NOISE
82,2091,NOISE
1079,1189,NOISE
2007,25,NOISE
1312,550,NOISE
98,1755,NOISE
499,1919,NOISE
1693,703,NOISE
2007,131,NOISE
813,963,NOISE
19,2054,NOISE
873,1480,NOISE
2066,273,NOISE
1680,490,NOISE
429,1623,NOISE
395,2126,NOISE
1492,986,NOISE
2124,-3,NOISE
1139,676,NOISE
-13,1899,NOISE
603,1655,NOISE
1789,456,NOISE
1780,263,NOISE
572,1209,NOISE
109,2027,NOISE
1069,1203,NOISE
2057,38,NOISE
1425,522,NOISE
241,1681,NOISE
585,1905,NOISE
1716,748,NOISE
2081,84,NOISE
893,884,NOISE
17,2063,NOISE
814,1546,NOISE
2030,310,NOISE
1701,465,NOISE
438,1566,NOISE
302,2142,NOISE
1381,1045,NOISE
2105,-34,NOISE
1184,626,NOISE
14,1845,NOISE
560,1649,NOISE
1756,435,NOISE
1858,172,NOISE
622,1100,NOISE
94,1992,NOISE
1047,1218,NOISE
2088,29,NOISE
1500,507,NOISE
254,1666,NOISE
550,1950,NOISE
1715,767,NOISE
2130,64,NOISE
920,849,NOISE
0,2059,NOISE
774,1574,NOISE
2006,315,NOISE
1713,435,NOISE
422,1542,NOISE
291,2158,NOISE
1346,1099,NOISE
2106,-3,NOISE
1193,637,NOISE
16,1855,NOISE
586,1719,NOISE
1778,521,NOISE
1895,198,NOISE
664,1128,NOISE
89,2023,NOISE
997,1272,NOISE
2064,63,NOISE
1482,541,NOISE
245,1703,NOISE
486,2025,NOISE
1618,857,NOISE
2074,106,NOISE
928,876,NOISE
-37,2045,NOISE
712,1642,NOISE
1924,445,NOISE
1705,489,NOISE
482,1511,NOISE
305,2141,NOISE
1317,1149,NOISE
2102,21,NOISE
1280,606,NOISE
97,1802,NOISE
613,1764,NOISE
1791,544,NOISE
1969,116,NOISE
755,1018,NOISE
98,2001,NOISE
974,1321,NOISE
2109,95,NOISE
1604,488,NOISE
333,1623,NOISE
490,2013,NOISE
1612,835,NOISE
2138,5,NOISE
998,800,NOISE
-76,2023,NOISE
655,1636,NOISE
1892,387,NOISE
1695,394,NOISE
441,1427,NOISE
190,2140,NOISE
1186,1162,NOISE
2038,2,NOISE
1224,601,NOISE
36,1754,NOISE
552,1775,NOISE
1767,562,NOISE
1981,104,NOISE
742,970,NOISE
53,1993,NOISE
946,1308,NOISE
2124,80,NOISE
1627,482,NOISE
379,1616,NOISE
511,2046,NOISE
1647,851,NOISE
2162,20,NOISE
1052,782,NOISE
-9,2021,NOISE
698,1659,NOISE
1921,434,NOISE
1740,386,NOISE
484,1400,NOISE
177,2119,NOISE
1200,1162,NOISE
2056,10,NOISE
1287,547,NOISE
87,1726,NOISE
585,1765,NOISE
1759,558,NOISE
1986,79,NOISE
757,965,NOISE
41,1991,NOISE
924,1340,NOISE
2095,121,NOISE
1641,461,NOISE
382,1600,NOISE
491,2047,NOISE
1610,870,NOISE
2175,-21,NOISE
1110,724,NOISE
13,1920,NOISE
672,1596,NOISE
1881,407,NOISE
1756,323,NOISE
531,1310,NOISE
189,2066,NOISE
1139,1145,NOISE
2021,8,NOISE
1283,528,NOISE
85,1696,NOISE
558,1865,NOISE
1775,681,NOISE
2051,113,NOISE
827,957,NOISE
45,2053,NOISE
868,1473,NOISE
2097,256,NOISE
1698,507,NOISE
477,1657,NOISE
487,2132,NOISE
1564,963,NOISE
2158,15,NOISE
1154,704,NOISE
14,1925,NOISE
629,1678,NOISE
1844,484,NOISE
1798,330,NOISE
561,1284,NOISE
119,2075,NOISE
1073,1233,NOISE
2030,62,NOISE
1350,552,NOISE
140,1729,NOISE
529,1925,NOISE
1700,724,NOISE
2033,73,NOISE
834,878,NOISE
-11,2053,NOISE
779,1540,NOISE
1987,314,NOISE
1666,504,NOISE
434,1587,NOISE
377,2129,NOISE
1434,1038,NOISE
2108,12,NOISE
1176,639,NOISE
21,1822,NOISE
582,1640,NOISE
1756,444,NOISE
1844,181,NOISE
642,1100,NOISE
115,1982,NOISE
1006,1219,NOISE
2049,40,NOISE
1480,467,NOISE
281,1625,NOISE
548,1929,NOISE
1679,775,NOISE
2115,57,NOISE
934,858,NOISE
-35,2041,NOISE
707,1602,NOISE
1920,375,NOISE
1665,449,NOISE
419,1544,NOISE
205,2183,NOISE
1246,1160,NOISE
2035,26,NOISE
1179,629,NOISE
15,1781,NOISE
522,1723,NOISE
1730,523,NOISE
1898,151,NOISE
695,1048,NOISE
61,1999,NOISE
979,1298,NOISE
2093,88,NOISE
1557,498,NOISE
290,1661,NOISE
479,2039,NOISE
1659,833,NOISE
2146,23,NOISE
980,794,NOISE
-48,2023,NOISE
693,1610,NOISE
1919,358,NOISE
1716,388,NOISE
462,1446,NOISE
244,2108,NOISE
1255,1113,NOISE
2063,-30,NOISE
1257,530,NOISE
100,1714,NOISE
581,1733,NOISE
1747,563,NOISE
1947,122,NOISE
722,980,NOISE
56,1982,NOISE
953,1310,NOISE
2102,90,NOISE
1584,492,NOISE
294,1699,NOISE
431,2105,NOISE
1612,873,NOISE
2153,2,NOISE
1030,812,NOISE
-27,2048,NOISE
