X,Y,Label
667,455,Noise2
1583,-247,Noise2
549,154,Noise2
-339,1393,Noise2
3,1217,Noise2
1196,20,Noise2
1246,-70,Noise2
7,781,Noise2
-230,1613,Noise2
529,579,Noise2
1521,-184,Noise2
628,171,Noise2
-326,1366,Noise2
0,1365,Noise2
1152,116,Noise2
1385,-98,Noise2
166,691,Noise2
-186,1681,Noise2
485,773,Noise2
1634,-183,Noise2
870,150,Noise2
-207,1302,Noise2
54,1532,Noise2
1086,284,Noise2
1509,-62,Noise2
291,565,Noise2
-176,1657,Noise2
302,896,Noise2
1391,-151,Noise2
812,122,Noise2
-239,1129,Noise2
-90,1545,Noise2
816,318,Noise2
1453,-160,Noise2
341,318,Noise2
-268,1426,Noise2
86,886,Noise2
1274,-187,Noise2
1075,-41,Noise2
-52,866,Noise2
-119,1517,Noise2
691,415,Noise2
1564,-203,Noise2
593,186,Noise2
-221,1359,Noise2
98,1193,Noise2
1249,75,Noise2
1292,-1,Noise2
83,815,Noise2
-169,1670,Noise2
557,664,Noise2
1611,-172,Noise2
742,146,Noise2
-269,1309,Noise2
19,1386,Noise2
1115,151,Noise2
1415,-140,Noise2
202,586,Noise2
-205,1637,Noise2
372,819,Noise2
1466,-177,Noise2
774,132,Noise2
-254,1204,Noise2
-33,1510,Noise2
926,286,Noise2
1428,-122,Noise2
262,453,Noise2
-276,1550,Noise2
168,874,Noise2
1310,-184,Noise2
902,76,Noise2
-192,1046,Noise2
-162,1582,Noise2
707,412,Noise2
1462,-137,Noise2
432,291,Noise2
-285,1431,Noise2
56,1060,Noise2
1201,-32,Noise2
1115,1,Noise2
-61,878,Noise2
-210,1600,Noise2
585,520,Noise2
1538,-199,Noise2
590,193,Noise2
-322,1398,Noise2
0,1316,Noise2
1172,113,Noise2
1348,-69,Noise2
90,738,Noise2
-209,1658,Noise2
507,718,Noise2
1607,-163,Noise2
780,178,Noise2
-271,1314,Noise2
4,1462,Noise2
1086,211,Noise2
1436,-91,Noise2
202,614,Noise2
-212,1709,Noise2
336,913,Noise2
1435,-110,Noise2
796,175,Noise2
-253,1214,Noise2
-58,1567,Noise2
891,332,Noise2
1451,-104,Noise2
299,419,Noise2
-249,1505,Noise2
172,894,Noise2
1305,-163,Noise2
1012,34,Noise2
-79,955,Noise2
-97,1535,Noise2
762,380,Noise2
1557,-188,Noise2
555,263,Noise2
-177,1425,Noise2
141,1153,Noise2
1284,19,Noise2
1276,4,Noise2
53,858,Noise2
-169,1673,Noise2
634,608,Noise2
1609,-152,Noise2
678,211,Noise2
-286,1380,Noise2
11,1358,Noise2
1159,135,Noise2
1387,-77,Noise2
127,676,Noise2
-210,1652,Noise2
431,766,Noise2
1513,-152,Noise2
760,173,Noise2
-267,1258,Noise2
0,1469,Noise2
1039,233,Noise2
1428,-115,Noise2
204,537,Noise2
-265,1629,Noise2
203,887,Noise2
1336,-154,Noise2
811,106,Noise2
-237,1104,Noise2
-131,1569,Noise2
750,366,Noise2
1395,-113,Noise2
350,372,Noise2
-252,1448,Noise2
123,975,Noise2
1264,-88,Noise2
1071,17,Noise2
-61,919,Noise2
-145,1605,Noise2
664,505,Noise2
1557,-155,Noise2
603,231,Noise2
-254,1361,Noise2
63,1240,Noise2
1188,86,Noise2
1304,-29,Noise2
115,773,Noise2
-160,1657,Noise2
505,706,Noise2
1584,-152,Noise2
782,179,Noise2
-255,1311,Noise2
41,1455,Noise2
1101,226,Noise2
1454,-80,Noise2
225,610,Noise2
-218,1678,Noise2
309,882,Noise2
1433,-144,Noise2
798,147,Noise2
-253,1210,Noise2
-59,1570,Noise2
864,338,Noise2
1407,-100,Noise2
271,423,Noise2
-285,1523,Noise2
106,900,Noise2
1262,-138,Noise2
948,42,Noise2
-160,986,Noise2
-165,1547,Noise2
699,388,Noise2
1483,-188,Noise2
494,199,Noise2
-255,1349,Noise2
90,1075,Noise2
1266,-38,Noise2
1242,-81,Noise2
53,776,Noise2
-140,1576,Noise2
602,561,Noise2
1579,-199,Noise2
712,151,Noise2
-247,1343,Noise2
50,1367,Noise2
1145,170,Noise2
1385,-43,Noise2
167,714,Noise2
-194,1706,Noise2
402,842,Noise2
1504,-122,Noise2
791,194,Noise2
-249,1282,Noise2
-18,1535,Noise2
976,300,Noise2
1437,-98,Noise2
223,516,Noise2
-273,1582,Noise2
194,888,Noise2
1310,-158,Noise2
836,96,Noise2
-244,1101,Noise2
-155,1592,Noise2
727,381,Noise2
1431,-126,Noise2
365,351,Noise2
-294,1450,Noise2
55,1048,Noise2
1184,-27,Noise2
1077,27,Noise2
-70,904,Noise2
-185,1594,Noise2
579,526,Noise2
1506,-143,Noise2
591,226,Noise2
