X,Y,Label
-521,468,H7
807,-882,H7
610,-972,H7
-807,193,H7
-1185,1053,H7
-73,-28,H7
932,-1321,H7
24,-705,H7
-1353,690,H7
-831,702,H7
561,-712,H7
892,-1223,H7
-513,-176,H7
-1250,954,H7
-269,126,H7
1047,-1258,H7
447,-837,H7
-930,472,H7
-738,895,H7
558,-457,H7
1145,-1301,H7
-145,-434,H7
-1213,914,H7
-458,425,H7
893,-915,H7
581,-855,H7
-827,365,H7
-1065,1095,H7
65,-72,H7
944,-1268,H7
-77,-606,H7
-1404,777,H7
-810,610,H7
598,-799,H7
759,-1163,H7
-667,-59,H7
-1278,970,H7
-205,26,H7
1017,-1365,H7
284,-844,H7
-1109,527,H7
-773,855,H7
554,-528,H7
1032,-1257,H7
-311,-340,H7
-1227,962,H7
-384,356,H7
949,-977,H7
524,-765,H7
-871,489,H7
-898,1097,H7
297,-196,H7
1068,-1250,H7
-27,-521,H7
-1284,830,H7
-680,527,H7
680,-843,H7
670,-1068,H7
-702,16,H7
-1169,933,H7
-118,-68,H7
969,-1384,H7
163,-817,H7
-1145,539,H7
-628,774,H7
770,-480,H7
1186,-924,H7
-41,162,H7
-709,1422,H7
-730,230,H7
-535,659,H7
751,-720,H7
1293,-1515,H7
0,-603,H7
-1030,830,H7
-202,237,H7
1191,-1179,H7
852,-1055,H7
-511,173,H7
-678,900,H7
496,-355,H7
1325,-1498,H7
281,-799,H7
-1002,576,H7
-440,310,H7
885,-1048,H7
971,-1335,H7
-386,-251,H7
-967,773,H7
69,-189,H7
1197,-1534,H7
466,-1000,H7
-854,326,H7
-522,619,H7
793,-744,H7
1246,-1447,H7
-95,-511,H7
-1024,814,H7
-165,178,H7
1181,-1198,H7
785,-983,H7
-564,256,H7
-622,885,H7
585,-425,H7
1334,-1499,H7
246,-764,H7
-989,625,H7
-363,277,H7
982,-1116,H7
938,-1295,H7
-443,-151,H7
-926,788,H7
146,-246,H7
1195,-1566,H7
409,-1009,H7
-925,344,H7
-516,536,H7
806,-826,H7
1183,-1437,H7
-140,-478,H7
-981,761,H7
-80,56,H7
1268,-1326,H7
783,-1011,H7
-586,266,H7
-545,834,H7
697,-533,H7
1374,-1502,H7
214,-698,H7
-1004,694,H7
-335,286,H7
1012,-1113,H7
838,-1194,H7
-501,-69,H7
-885,798,H7
204,-303,H7
1179,-1570,H7
317,-986,H7
-1002,372,H7
-513,424,H7
821,-944,H7
1138,-1469,H7
-196,-478,H7
-980,722,H7
-45,-43,H7
1245,-1405,H7
700,-1006,H7
-644,278,H7
-521,755,H7
729,-592,H7
1344,-1476,H7
131,-624,H7
-794,305,H7
-457,564,H7
892,-877,H7
1344,-1546,H7
-58,-540,H7
-961,798,H7
-48,79,H7
1321,-1312,H7
810,-958,H7
-591,367,H7
-538,937,H7
745,-455,H7
1409,-1371,H7
195,-491,H7
-993,954,H7
-265,491,H7
1150,-939,H7
891,-942,H7
-537,254,H7
-839,1057,H7
299,-89,H7
1226,-1329,H7
293,-695,H7
-1030,676,H7
-499,603,H7
854,-788,H7
1082,-1201,H7
-255,-179,H7
-923,890,H7
56,48,H7
1275,-1318,H7
629,-836,H7
-751,499,H7
-492,879,H7
831,-510,H7
1358,-1292,H7
20,-375,H7
-1012,1020,H7
-207,473,H7
1143,-912,H7
818,-781,H7
-549,429,H7
-686,1097,H7
473,-141,H7
1265,-1255,H7
249,-566,H7
-991,761,H7
-425,499,H7
930,-876,H7
1021,-1176,H7
-345,-103,H7
-919,891,H7
90,-41,H7
1209,-1379,H7
476,-840,H7
-896,524,H7
-546,833,H7
811,-553,H7
1260,-1249,H7
-92,-285,H7
-1004,1025,H7
-126,389,H7
1236,-991,H7
819,-745,H7
-545,491,H7
-562,1074,H7
627,-232,H7
1331,-1256,H7
246,-516,H7
-971,818,H7
-346,482,H7
996,-889,H7
925,-1057,H7
-468,81,H7
-908,992,H7
194,-85,H7
1236,-1420,H7
380,-824,H7
-1007,593,H7
-531,716,H7
816,-691,H7
1183,-1274,H7
-178,-282,H7
-984,909,H7
-39,144,H7
1262,-1209,H7
721,-824,H7
-640,474,H7
-506,936,H7
763,-420,H7
1392,-1319,H7
173,-477,H7
-961,924,H7
-216,453,H7
1152,-939,H7
872,-922,H7
-533,283,H7
-803,1059,H7
330,-117,H7
1225,-1338,H7
276,-692,H7
-1037,669,H7
-493,569,H7
851,-807,H7
1062,-1200,H7
-268,-180,H7
-921,880,H7
49,26,H7
1254,-1288,H7
588,-767,H7
-778,568,H7
-461,955,H7
900,-370,H7
1427,-1009,H7
205,-16,H7
-645,1377,H7
234,-295,H7
1148,-1543,H7
203,-928,H7
-1127,467,H7
-567,410,H7
798,-984,H7
1044,-1409,H7
-296,-380,H7
-984,733,H7
0,-120,H7
1223,-1482,H7
581,-991,H7
-780,367,H7
-512,770,H7
808,-637,H7
1353,-1427,H7
13,-517,H7
-1030,909,H7
-208,332,H7
1182,-1078,H7
862,-939,H7
-512,274,H7
-658,955,H7
512,-312,H7
1314,-1443,H7
274,-768,H7
-967,605,H7
-378,335,H7
972,-1054,H7
1035,-1334,H7
-343,-251,H7
-917,752,H7
115,-212,H7
1214,-1525,H7
518,-994,H7
-795,358,H7
-460,657,H7
