X,Y,Label
103,-334,I10
1180,-1520,I10
1898,-2711,I10
1199,-2122,I10
18,-823,I10
488,-760,I10
1728,-2140,I10
1907,-2693,I10
707,-1667,I10
-134,-432,I10
760,-1125,I10
1913,-2486,I10
1664,-2263,I10
469,-991,I10
334,-388,I10
1491,-1709,I10
2035,-2798,I10
1171,-2061,I10
25,-751,I10
603,-988,I10
1826,-2384,I10
1848,-2707,I10
599,-1564,I10
-68,-507,I10
988,-1452,I10
1972,-2825,I10
1473,-2338,I10
206,-982,I10
357,-570,I10
1613,-1971,I10
1992,-2810,I10
905,-1882,I10
-198,-523,I10
549,-980,I10
1742,-2363,I10
1673,-2384,I10
454,-1170,I10
73,-357,I10
1188,-1540,I10
1943,-2760,I10
1264,-2166,I10
49,-819,I10
534,-741,I10
1806,-2178,I10
1990,-2755,I10
739,-1681,I10
-129,-414,I10
802,-1125,I10
1973,-2506,I10
1700,-2277,I10
461,-978,I10
372,-382,I10
1527,-1712,I10
2069,-2783,I10
1181,-2036,I10
49,-742,I10
631,-987,I10
1839,-2374,I10
1845,-2666,I10
609,-1532,I10
-46,-496,I10
969,-1449,I10
1930,-2795,I10
1451,-2308,I10
213,-967,I10
393,-569,I10
2187,-2577,I10
1591,-2116,I10
289,-784,I10
593,-489,I10
1860,-1945,I10
2146,-2649,I10
930,-1701,I10
-62,-373,I10
760,-1001,I10
1921,-2390,I10
1715,-2276,I10
456,-1007,I10
231,-311,I10
1345,-1610,I10
1971,-2750,I10
1177,-2083,I10
3,-756,I10
564,-922,I10
1813,-2327,I10
1888,-2712,I10
629,-1588,I10
-84,-471,I10
936,-1360,I10
1988,-2760,I10
1570,-2360,I10
301,-1002,I10
359,-521,I10
1578,-1873,I10
2005,-2788,I10
989,-1931,I10
-116,-595,I10
597,-978,I10
1776,-2340,I10
1776,-2441,I10
551,-1261,I10
77,-388,I10
1173,-1492,I10
1991,-2766,I10
1392,-2206,I10
178,-876,I10
531,-660,I10
1759,-2050,I10
2014,-2707,I10
787,-1708,I10
-163,-372,I10
699,-978,I10
1856,-2355,I10
1650,-2213,I10
391,-930,I10
166,-247,I10
1347,-1553,I10
1973,-2721,I10
1155,-2034,I10
-14,-711,I10
537,-865,I10
1780,-2271,I10
1859,-2672,I10
641,-1574,I10
-83,-470,I10
919,-1330,I10
1958,-2710,I10
1564,-2308,I10
317,-982,I10
391,-505,I10
1596,-1879,I10
2027,-2814,I10
1009,-1944,I10
-120,-603,I10
573,-977,I10
1774,-2359,I10
1774,-2475,I10
537,-1282,I10
56,-387,I10
1136,-1489,I10
1974,-2764,I10
1364,-2209,I10
160,-889,I10
518,-655,I10
1754,-2040,I10
2004,-2696,I10
807,-1725,I10
-182,-405,I10
655,-985,I10
1809,-2342,I10
1653,-2226,I10
437,-989,I10
194,-297,I10
1313,-1572,I10
1967,-2724,I10
1185,-2068,I10
-1,-732,I10
560,-872,I10
