X,Y,Label
1749,383,I6
419,1573,I6
169,2184,I6
1333,1159,I6
2091,-37,I6
1253,590,I6
12,1837,I6
593,1788,I6
1857,514,I6
1983,63,I6
681,1085,I6
29,1985,I6
1047,1242,I6
2105,-21,I6
1584,405,I6
298,1679,I6
477,1990,I6
1706,705,I6
2149,-120,I6
995,766,I6
-28,1989,I6
787,1584,I6
2018,329,I6
1823,355,I6
516,1535,I6
266,2138,I6
1398,1136,I6
2140,-23,I6
1310,623,I6
99,1877,I6
642,1816,I6
1885,546,I6
2015,103,I6
729,1117,I6
57,2022,I6
1042,1319,I6
2112,46,I6
1607,462,I6
318,1693,I6
452,1996,I6
1680,740,I6
2117,-98,I6
962,775,I6
-106,2023,I6
671,1659,I6
1914,390,I6
1750,373,I6
458,1538,I6
179,2146,I6
1320,1151,I6
2085,-12,I6
1283,610,I6
88,1845,I6
633,1778,I6
1906,489,I6
2052,32,I6
706,1078,I6
7,2005,I6
1061,1254,I6
2150,-24,I6
1629,376,I6
307,1667,I6
470,1999,I6
1729,717,I6
2179,-118,I6
1007,754,I6
-33,1979,I6
746,1597,I6
1932,389,I6
1760,388,I6
483,1540,I6
206,2139,I6
1301,1150,I6
2044,13,I6
1227,641,I6
27,1869,I6
604,1843,I6
1877,573,I6
2035,84,I6
721,1119,I6
23,2055,I6
1033,1354,I6
2125,85,I6
1626,472,I6
337,1707,I6
489,2035,I6
1690,767,I6
2133,-74,I6
1008,791,I6
-45,1988,I6
707,1639,I6
1933,386,I6
1775,349,I6
486,1480,I6
188,2107,I6
1303,1129,I6
2077,-26,I6
1297,553,I6
76,1775,I6
589,1798,I6
1832,536,I6
1998,37,I6
718,1043,I6
-2,2011,I6
979,1332,I6
2084,57,I6
1581,426,I6
240,1720,I6
368,2081,I6
1631,788,I6
2130,-105,I6
1007,759,I6
-99,2015,I6
655,1678,I6
1905,408,I6
1744,363,I6
462,1504,I6
179,2124,I6
1278,1158,I6
2042,15,I6
1255,605,I6
34,1820,I6
553,1825,I6
1812,551,I6
1986,12,I6
699,1018,I6
-31,1979,I6
950,1264,I6
2069,-94,I6
1582,203,I6
280,1456,I6
385,1827,I6
1620,529,I6
2114,-403,I6
1012,439,I6
-86,1662,I6
658,1292,I6
1888,-12,I6
1746,-67,I6
451,1087,I6
129,1751,I6
1247,760,I6
2038,-448,I6
1257,136,I6
19,1384,I6
517,1417,I6
1780,108,I6
1972,-423,I6
692,604,I6
-43,1606,I6
913,912,I6
2035,-424,I6
1586,-91,I6
297,1171,I6
389,1568,I6
1612,241,I6
2119,-708,I6
1029,136,I6
-102,1387,I6
613,1068,I6
1822,-217,I6
1726,-302,I6
