X,Y,Label
1283,511,H11
62,1705,H11
505,1877,H11
1725,639,H11
2024,77,H11
753,962,H11
-47,2080,H11
821,1448,H11
2097,170,H11
1628,414,H11
336,1606,H11
372,2111,H11
1516,932,H11
2120,-11,H11
1051,755,H11
-56,1979,H11
609,1639,H11
1834,406,H11
1686,337,H11
448,1381,H11
124,2118,H11
1131,1193,H11
2038,26,H11
1276,594,H11
42,1749,H11
516,1840,H11
1730,612,H11
2021,116,H11
763,978,H11
9,2039,H11
907,1355,H11
2119,63,H11
1598,378,H11
284,1573,H11
392,2051,H11
1573,827,H11
2153,-29,H11
1012,731,H11
-72,2023,H11
634,1635,H11
1885,379,H11
1662,395,H11
400,1493,H11
149,2191,H11
1228,1198,H11
2065,29,H11
1235,607,H11
9,1799,H11
542,1747,H11
1813,462,H11
2020,53,H11
727,979,H11
69,1955,H11
1014,1162,H11
2130,-131,H11
1539,313,H11
203,1522,H11
396,1932,H11
1570,717,H11
2053,-46,H11
859,759,H11
-118,1980,H11
616,1554,H11
1817,358,H11
1541,443,H11
279,1496,H11
97,2134,H11
1168,1086,H11
1950,-35,H11
1067,576,H11
-133,1779,H11
364,1709,H11
1567,497,H11
1748,133,H11
520,1043,H11
-88,2006,H11
825,1277,H11
1929,66,H11
1364,524,H11
117,1697,H11
351,2036,H11
1528,834,H11
2029,21,H11
851,820,H11
-145,2064,H11
599,1640,H11
1844,387,H11
1591,457,H11
296,1536,H11
82,2188,H11
1161,1111,H11
1980,-38,H11
1076,624,H11
-143,1853,H11
415,1757,H11
1678,501,H11
1867,138,H11
595,1078,H11
15,2019,H11
959,1244,H11
2041,30,H11
1439,504,H11
182,1673,H11
469,2000,H11
1648,770,H11
2102,12,H11
871,834,H11
-85,2084,H11
725,1583,H11
2003,309,H11
1667,425,H11
352,1549,H11
220,2168,H11
1291,1064,H11
2055,-42,H11
1105,624,H11
-95,1854,H11
492,1665,H11
1727,432,H11
1820,175,H11
579,1133,H11
62,2012,H11
1015,1187,H11
2054,-22,H11
1418,457,H11
183,1645,H11
500,1938,H11
1665,725,H11
2059,22,H11
802,852,H11
-77,2068,H11
746,1533,H11
2000,276,H11
1645,455,H11
361,1599,H11
291,2183,H11
1405,1058,H11
2134,-3,H11
1156,685,H11
-10,1898,H11
566,1663,H11
1799,447,H11
1832,213,H11
594,1167,H11
100,2023,H11
1028,1183,H11
2030,-7,H11
1366,479,H11
113,1676,H11
476,1939,H11
1677,714,H11
2055,45,H11
799,924,H11
-76,2105,H11
764,1543,H11
2041,270,H11
1669,457,H11
380,1601,H11
370,2152,H11
1481,990,H11
2160,0,H11
1118,743,H11
-77,1990,H11
551,1703,H11
1802,410,H11
1719,260,H11
415,1293,H11
-2,2126,H11
1033,1188,H11
2011,-57,H11
1243,458,H11
1,1688,H11
476,1819,H11
1753,538,H11
2075,25,H11
782,953,H11
-1,2049,H11
934,1362,H11
2140,77,H11
1600,436,H11
241,1706,H11
367,2154,H11
1604,876,H11
2167,11,H11
968,845,H11
-86,2147,H11
695,1702,H11
1971,386,H11
1708,436,H11
384,1537,H11
210,2200,H11
1280,1148,H11
2074,24,H11
1162,663,H11
-21,1855,H11
516,1733,H11
1733,509,H11
1892,167,H11
635,1078,H11
56,2027,H11
963,1252,H11
2052,21,H11
1434,465,H11
171,1644,H11
447,1985,H11
1663,751,H11
2125,-3,H11
852,864,H11
-73,2125,H11
734,1618,H11
2002,338,H11
1675,472,H11
394,1597,H11
304,2213,H11
1386,1092,H11
2110,24,H11
1152,676,H11
-12,1877,H11
522,1644,H11
1756,392,H11
1842,147,H11
570,1100,H11
70,1991,H11
1014,1153,H11
2041,-50,H11
1397,417,H11
145,1630,H11
478,1905,H11
1675,705,H11
2075,45,H11
826,887,H11
-36,2082,H11
770,1534,H11
2019,277,H11
1665,469,H11
372,1615,H11
313,2175,H11
1434,1024,H11
2148,-2,H11
1152,696,H11
-34,1922,H11
573,1677,H11
1797,431,H11
1790,236,H11
525,1197,H11
52,2041,H11
1050,1158,H11
2034,-37,H11
1348,472,H11
87,1677,H11
490,1905,H11
1704,648,H11
2072,37,H11
805,909,H11
-35,2081,H11
833,1477,H11
2067,220,H11
1662,479,H11
350,1643,H11
370,2158,H11
1513,954,H11
2153,25,H11
1097,770,H11
-52,2007,H11
608,1675,H11
1851,423,H11
1746,318,H11
454,1336,H11
102,2122,H11
1112,1185,H11
2040,20,H11
1279,553,H11
62,1743,H11
526,1879,H11
1750,643,H11
2049,91,H11
804,940,H11
52,2010,H11
907,1333,H11
2134,44,H11
1627,348,H11
314,1523,H11
397,1993,H11
1579,738,H11
2153,-142,H11
1026,642,H11
-103,1907,H11
553,1572,H11
1782,357,H11
1615,334,H11
365,1353,H11
60,2075,H11
1070,1099,H11
1920,-67,H11
1118,476,H11
-97,1664,H11
387,1715,H11
1616,394,H11
1884,-184,H11
606,634,H11
-130,1685,H11
767,919,H11
1948,-515,H11
1447,-272,H11
137,847,H11
255,1282,H11
1433,-103,H11
1996,-1089,H11
854,-429,H11
-238,843,H11
461,334,H11
1738,-1150,H11
1543,-1304,H11
249,-341,H11
-73,443,H11
1010,-794,H11
1863,-2121,H11
1045,-1689,H11
-185,-488,H11
250,-491,H11
1475,-1857,H11
1678,-2370,H11
500,-1506,H11
-264,-245,H11
572,-1008,H11
1671,-2259,H11
1319,-1965,H11
171,-842,H11
157,-234,H11
1255,-1463,H11
1824,-2403,H11
871,-1740,H11
-245,-446,H11
330,-744,H11
1509,-2013,H11
1553,-2240,H11
371,-1281,H11
-222,-194,H11
698,-1097,H11
1702,-2306,H11
1199,-1896,H11
54,-720,H11
257,-313,H11
1387,-1572,H11
1804,-2328,H11
725,-1576,H11
-330,-293,H11
342,-726,H11
1535,-2008,H11
1459,-2054,H11
290,-1029,H11
-118,-105,H11
856,-1167,H11
1711,-2298,H11
1068,-1831,H11
-83,-616,H11
329,-380,H11
1518,-1664,H11
1791,-2243,H11
624,-1389,H11
