X,Y,Label
1545,864,I5
2131,-13,I5
985,767,I5
-66,2045,I5
679,1616,I5
1986,307,I5
1720,302,I5
355,1435,I5
114,2143,I5
1219,1091,I5
2053,-76,I5
1142,539,I5
-116,1832,I5
457,1742,I5
1716,474,I5
1887,128,I5
617,1116,I5
41,2051,I5
1004,1253,I5
2095,13,I5
1459,512,I5
180,1764,I5
456,2067,I5
1669,785,I5
2122,54,I5
809,927,I5
-124,2150,I5
725,1596,I5
2003,297,I5
1639,461,I5
304,1606,I5
259,2178,I5
1424,1012,I5
2129,-13,I5
1113,700,I5
-74,1955,I5
555,1678,I5
1816,409,I5
1786,232,I5
484,1263,I5
68,2101,I5
1098,1168,I5
2062,-55,I5
1311,501,I5
38,1765,I5
528,1908,I5
1788,619,I5
2109,53,I5
799,985,I5
2,2082,I5
927,1407,I5
2132,113,I5
1610,455,I5
248,1667,I5
350,2116,I5
1556,848,I5
2136,-25,I5
968,816,I5
-89,2128,I5
685,1671,I5
1991,337,I5
1716,378,I5
386,1502,I5
192,2188,I5
1307,1120,I5
2113,-19,I5
1191,620,I5
-40,1870,I5
505,1728,I5
1784,455,I5
1914,144,I5
622,1135,I5
51,2058,I5
1021,1238,I5
2092,-6,I5
1430,473,I5
132,1730,I5
455,2027,I5
1699,737,I5
2109,44,I5
818,916,I5
-71,2111,I5
785,1527,I5
2086,205,I5
1692,387,I5
359,1582,I5
348,2125,I5
1497,924,I5
2182,-71,I5
1129,686,I5
-45,1966,I5
606,1638,I5
1877,347,I5
1765,227,I5
437,1296,I5
69,2088,I5
1101,1130,I5
2030,-96,I5
1226,485,I5
-45,1716,I5
449,1808,I5
1708,575,I5
2002,83,I5
701,1046,I5
-40,2108,I5
867,1409,I5
2066,154,I5
1551,535,I5
242,1752,I5
396,2186,I5
1568,982,I5
2114,142,I5
963,962,I5
-74,2219,I5
683,1815,I5
1956,568,I5
1696,624,I5
364,1767,I5
161,2426,I5
1228,1417,I5
2052,260,I5
1174,877,I5
-63,2111,I5
456,2024,I5
1694,784,I5
1875,434,I5
606,1369,I5
26,2272,I5
946,1523,I5
2050,279,I5
1451,743,I5
140,1940,I5
427,2252,I5
1638,1017,I5
2106,260,I5
894,1068,I5
-47,2282,I5
699,1831,I5
1943,595,I5
1636,709,I5
350,1821,I5
269,2409,I5
1311,1346,I5
2067,275,I5
1150,923,I5
-48,2135,I5
504,1990,I5
1739,774,I5
1875,452,I5
628,1403,I5
83,2263,I5
993,1472,I5
2052,259,I5
1404,741,I5
123,1942,I5
396,2218,I5
1591,984,I5
2035,258,I5
774,1106,I5
-139,2295,I5
653,1827,I5
1870,614,I5
1545,763,I5
297,1862,I5
236,2414,I5
1333,1325,I5
2056,276,I5
1110,918,I5
-39,2124,I5
502,1940,I5
1714,714,I5
1821,428,I5
555,1394,I5
32,2246,I5
940,1451,I5
1982,226,I5
1321,709,I5
58,1925,I5
378,2178,I5
1615,938,I5
2041,248,I5
763,1113,I5
-101,2274,I5
705,1761,I5
1976,510,I5
1598,723,I5
298,1874,I5
253,2408,I5
1378,1274,I5
2068,260,I5
1065,940,I5
-82,2152,I5
512,1916,I5
1754,661,I5
1749,454,I5
468,1466,I5
24,2270,I5
1021,1384,I5
2002,179,I5
1275,706,I5
25,1935,I5
426,2149,I5
1665,895,I5
2036,289,I5
758,1178,I5
-49,2266,I5
811,1682,I5
2048,452,I5
1626,713,I5
327,1875,I5
353,2351,I5
1489,1152,I5
2111,226,I5
1053,966,I5
-74,2181,I5
585,1896,I5
1826,654,I5
1703,547,I5
413,1602,I5
78,2351,I5
1102,1415,I5
2026,237,I5
1245,786,I5
-22,2005,I5
450,2095,I5
1678,832,I5
1978,319,I5
706,1213,I5
-44,2236,I5
823,1605,I5
2026,398,I5
1547,719,I5
273,1889,I5
395,2303,I5
1536,1128,I5
2116,272,I5
1031,994,I5
-47,2211,I5
630,1874,I5
1859,639,I5
1655,580,I5
366,1647,I5
79,2344,I5
1096,1373,I5
1973,172,I5
1137,692,I5
-122,1920,I5
369,1965,I5
1614,693,I5
1878,182,I5
652,1052,I5
-32,2041,I5
843,1354,I5
2028,108,I5
1521,462,I5
271,1662,I5
417,2051,I5
1566,836,I5
2108,25,I5
955,812,I5
-98,2096,I5
642,1687,I5
1930,399,I5
1683,400,I5
361,1539,I5
122,2222,I5
1229,1191,I5
2084,-11,I5
1214,600,I5
-18,1856,I5
505,1761,I5
1747,478,I5
1926,116,I5
637,1075,I5
25,2019,I5
957,1246,I5
2049,-15,I5
1458,468,I5
174,1680,I5
412,2013,I5
1628,761,I5
2099,19,I5
840,878,I5
-102,2135,I5
702,1642,I5
1988,361,I5
1662,493,I5
359,1620,I5
222,2216,I5
1359,1091,I5
2101,9,I5
1120,702,I5
-79,1963,I5
